13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,0,0,13,13,0,13,12,0,13,13,13,13,0,12,0,0,12,0
13,13,13,0,12,0,0,0,12,0,12,0,0,12,13,13,13,13,13,13
12,0,12,0,12,0,0,12,13,13,12,0,13,12,0,0,0,0,0,12
12,0,13,13,12,0,0,12,0,0,12,0,0,12,13,13,13,0,0,12
12,0,0,0,12,0,0,12,0,0,12,13,0,12,0,0,12,0,13,12
13,13,0,13,13,13,13,12,13,13,12,0,12,0,12,0,12,0,0,0
0,12,13,0,0,12,0,12,0,12,0,0,12,0,12,0,12,13,13,12
0,12,0,0,12,0,12,0,12,0,0,0,12,0,12,0,12,0,0,12
12,0,13,13,13,13,13,12,13,13,0,13,12,13,13,13,12,0,0,12
12,0,0,0,0,0,0,12,0,12,0,0,12,0,0,0,0,13,13,13
12,0,0,12,13,13,13,12,0,12,12,0,0,12,13,13,12,0,12,0
12,13,13,12,0,12,0,12,0,0,12,0,0,12,0,0,12,0,13,0
0,0,12,0,0,12,0,0,0,12,13,13,13,12,0,0,12,0,0,0
12,13,12,0,0,12,0,0,0,12,0,0,0,0,0,13,13,13,13,13
12,0,0,12,0,0,0,12,13,12,13,0,12,13,12,0,0,0,0,12
12,0,13,12,13,12,0,12,13,0,12,0,12,0,13,13,13,13,13,12
12,0,0,12,0,12,0,12,0,0,12,13,12,0,0,0,0,0,0,0
12,13,13,12,0,12,0,12,13,0,12,0,0,12,13,13,13,12,0,0
0,12,0,0,0,12,0,12,0,13,12,13,13,12,0,12,0,12,13,12
0,12,0,12,13,12,0,12,0,0,0,0,12,0,0,0,0,0,0,12
0,12,13,12,0,0,0,12,13,13,13,0,0,12,13,13,13,13,13,12
0,0,0,12,13,13,13,12,0,0,0,13,13,12,0,12,0,12,0,12
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
